VariantID,Country,first_seq,last_seq,variant,total_cases,total_deaths
1,China,10/22/2019,6/3/2020,S.Q677,18259.46012,967.4355828
2,USA,3/3/2020,11/19/2021,S.Q677,256577.5962,4133.841031
3,Brazil,3/9/2020,11/12/2021,S.Q677,101550.1405,2827.764288
4,Australia,3/20/2020,11/14/2021,S.Q677,1402.239579,13.8897516
5,Sweden,3/20/2020,11/19/2021,S.Q677,1659.148728,21.0894247
6,Spain,3/20/2020,11/21/2021,S.Q677,19008.57607,328.5285926
7,UK,3/26/2020,11/24/2021,S.Q677,211650.1025,3054.41778
8,Germany,3/27/2020,11/18/2021,S.Q677,17896.69821,339.4409792
9,Mexico,3/28/2020,11/8/2021,S.Q677,9926.348816,751.544703
10,Canada,4/1/2020,10/29/2021,S.Q677,124014.1951,2097.19983
11,India,4/6/2020,11/3/2021,S.Q677,298414.5212,3996.583187
12,Indonesia,4/9/2020,10/24/2021,S.Q677,22748.49491,768.3216075
13,Romania,4/11/2020,11/3/2021,S.Q677,2942.50746,86.21479295
14,Madagascar,4/13/2020,3/29/2021,S.Q677,253.2573585,4.163018868
15,Japan,4/17/2020,10/14/2021,S.Q677,2629.212283,27.64466228
16,Italy,4/21/2020,11/22/2021,S.Q677,31877.40242,861.210436
17,Egypt,4/26/2020,9/4/2021,S.Q677,121972.2105,7063.578947
18,Austria,4/26/2020,11/5/2021,S.Q677,7227.06504,95.6298568
19,Qatar,5/8/2020,9/15/2021,S.Q677,1740.203258,4.471665096
20,Guinea-Bissau,5/13/2020,1/29/2021,S.Q677,25.06930693,0.445544554
21,Kenya,5/17/2020,10/1/2021,S.Q677,1399.732484,28.74292994
22,Bangladesh,5/17/2020,9/26/2021,S.Q677,8618.616667,152.3
23,South Africa,5/28/2020,10/20/2021,S.Q677,6571.635522,199.8936678
24,Malaysia,5/29/2020,11/3/2021,S.Q677,9882.7158,115.6175568
25,Guinea,6/2/2020,7/16/2021,S.Q677,1346.093418,10.21231423
26,South Korea,6/8/2020,10/9/2021,S.Q677,187.3694424,1.455350414
27,Senegal,6/9/2020,10/25/2021,S.Q677,9547.908795,242.6514658
28,North Macedonia,6/11/2020,4/26/2021,S.Q677,7113.561151,222.5584532
29,Saudi Arabia,6/13/2020,9/6/2021,S.Q677,11492.24122,180.8220141
30,Belgium,6/18/2020,11/26/2021,S.Q677,6403.047944,100.9958121
31,United Arab Emirates,6/25/2020,2/7/2021,S.Q677,5184.249223,14.62409389
32,Colombia,6/26/2020,10/21/2021,S.Q677,6092.950344,155.1376361
33,Laos,7/5/2020,7/10/2020,S.Q677,2.590909091,0
34,Singapore,7/27/2020,5/29/2021,S.Q677,94.87648605,0.04896614
35,Iceland,8/3/2020,8/22/2021,S.Q677,5.751935611,0.017059621
36,Pakistan,8/10/2020,7/6/2021,S.Q677,2837.302722,65.99471314
37,France,8/13/2020,11/18/2021,S.Q677,816113.2646,13065.47023
38,Netherlands,8/16/2020,11/14/2021,S.Q677,26976.57406,219.6942042
39,Denmark,8/17/2020,11/22/2021,S.Q677,3432.532229,21.18555725
40,Russia,8/18/2020,10/31/2021,S.Q677,20182.62708,564.1751244
41,Peru,8/21/2020,10/22/2021,S.Q677,7953.159126,724.9589745
42,Chile,8/21/2020,11/13/2021,S.Q677,6820.692521,150.1699235
43,Switzerland,8/25/2020,11/23/2021,S.Q677,5195.024988,61.63849783
44,New Zealand,8/30/2020,8/31/2021,S.Q677,6.47716964,0.047172664
45,Rwanda,9/9/2020,1/30/2021,S.Q677,65.0436386,0.830362631
46,Philippines,9/18/2020,8/30/2021,S.Q677,5649.495068,95.282603
47,Burkina Faso,9/21/2020,4/23/2021,S.Q677,981.6548387,11.57419355
48,Jordan,10/8/2020,11/17/2021,S.Q677,8240.588895,103.4243505
49,Oman,10/12/2020,7/6/2021,S.Q677,1893.35599,22.69498726
50,Uzbekistan,10/14/2020,12/7/2020,S.Q677,1127.71066,9.304568528
51,Greece,10/19/2020,11/2/2021,S.Q677,746.0271105,15.8707923
52,Argentina,10/19/2020,9/18/2021,S.Q677,8042.773113,175.58624
53,Czech Republic,10/23/2020,11/3/2021,S.Q677,3181.577611,55.02375947
54,Uganda,10/29/2020,6/1/2021,S.Q677,1146.050781,8.686383929
55,Slovenia,10/31/2020,10/16/2021,S.Q677,507.6834256,7.652324294
56,Poland,11/9/2020,11/17/2021,S.Q677,2859.74882,69.95802913
57,Luxembourg,11/12/2020,11/13/2021,S.Q677,671.7191996,6.817015427
58,Portugal,11/12/2020,11/15/2021,S.Q677,2338.624804,38.53535984
59,Mozambique,11/25/2020,7/2/2021,S.Q677,127.3637847,1.443719413
60,Iran,11/25/2020,2/1/2021,S.Q677,4812.824324,196.0743243
61,Norway,11/29/2020,11/3/2021,S.Q677,1075.201693,4.66629055
62,Palestine,11/29/2020,2/6/2021,S.Q677,9721.74,112.2
63,Uruguay,12/2/2020,4/26/2021,S.Q677,47224.33471,602.6900826
64,Nigeria,12/3/2020,9/17/2021,S.Q677,8903.079273,117.1632388
65,Lithuania,12/3/2020,11/3/2021,S.Q677,745.3912376,10.72938447
66,Angola,12/7/2020,7/18/2021,S.Q677,225.441989,5.287292818
67,Israel,12/7/2020,11/21/2021,S.Q677,4362.219026,26.60740936
68,Bolivia,12/8/2020,2/20/2021,S.Q677,2895.461078,136.7305389
69,Congo (Brazzaville),12/10/2020,10/25/2021,S.Q677,604.4524076,8.922732363
70,Bosnia and Herzegovina,12/17/2020,10/12/2021,S.Q677,1045.12311,47.55507559
71,Bulgaria,12/17/2020,9/30/2021,S.Q677,546.8982792,22.74232193
72,Serbia,12/18/2020,10/4/2021,S.Q677,7007.166667,61.08695652
73,Panama,12/20/2020,4/1/2021,S.Q677,1367.303846,23.53461538
74,Zimbabwe,12/21/2020,12/21/2020,S.Q677,5.969245555,0.154733301
75,Timor-Leste,12/23/2020,6/15/2021,S.Q677,102.5853659,0.231707317
76,Ukraine,12/29/2020,10/25/2021,S.Q677,6194.895819,145.3543586
77,Mauritius,1/4/2021,10/1/2021,S.Q677,54.02739726,0.308219178
78,Finland,1/6/2021,10/21/2021,S.Q677,505.402757,3.936153421
79,Ghana,1/6/2021,8/16/2021,S.Q677,1640.305344,13.71443442
80,Costa Rica,1/10/2021,10/25/2021,S.Q677,2192.484014,27.47860305
81,Guatemala,1/11/2021,9/1/2021,S.Q677,1959.675824,49.4793956
82,Bahamas,1/18/2021,7/20/2021,S.Q677,134.9603175,2.718253968
83,Lebanon,1/20/2021,7/9/2021,S.Q677,1153.393761,16.59148398
84,Turkey,1/20/2021,11/17/2021,S.Q677,11934.06823,104.4137711
85,Afghanistan,1/21/2021,1/21/2021,S.Q677,863.5396825,37.50793651
86,Ireland,1/22/2021,11/8/2021,S.Q677,831.70924,9.666228219
87,South Sudan,1/23/2021,5/26/2021,S.Q677,1189.336709,12.81012658
88,Togo,1/25/2021,7/31/2021,S.Q677,953.0116009,9.16937355
89,Malawi,1/26/2021,9/16/2021,S.Q677,79.27092321,2.913287317
90,Cameroon,1/27/2021,9/25/2021,S.Q677,3331.751773,53.36170213
91,Gambia,1/27/2021,8/23/2021,S.Q677,1009.606909,32.08993448
92,Benin,1/30/2021,7/18/2021,S.Q677,533.0487157,6.918511957
93,Cabo Verde,1/31/2021,1/31/2021,S.Q677,287.1428571,2.734693878
94,Thailand,1/31/2021,11/8/2021,S.Q677,1376.436352,13.7275
95,Liechtenstein,2/7/2021,11/6/2021,S.Q677,28.24242424,0.462121212
96,Côte d'Ivoire,2/8/2021,5/11/2021,S.Q677,3178.99696,19.96960486
97,Tunisia,2/9/2021,3/5/2021,S.Q677,3751.68254,129.047619
98,Central African Republic,2/12/2021,3/9/2021,S.Q677,38.49042146,0.482758621
99,Honduras,2/17/2021,4/22/2021,S.Q677,4137.939394,101.959596
100,Libya,2/18/2021,6/7/2021,S.Q677,28674.09722,480.6388889
101,Paraguay,2/20/2021,8/14/2021,S.Q677,4353.073093,147.0127119
102,Morocco,3/2/2021,8/25/2021,S.Q677,5113.620264,74.49603524
103,Sri Lanka,3/2/2021,9/5/2021,S.Q677,697.2532771,15.27798704
104,Sudan,3/4/2021,3/28/2021,S.Q677,2725.890566,176.0150943
105,Estonia,3/4/2021,11/2/2021,S.Q677,463.5424339,3.64806867
106,Gabon,3/8/2021,9/30/2021,S.Q677,1108.057743,6.834645669
107,Liberia,3/10/2021,5/29/2021,S.Q677,41.76996805,1.6485623
108,Slovakia,3/13/2021,11/7/2021,S.Q677,655.5535501,9.162318719
109,Mali,3/20/2021,8/30/2021,S.Q677,2352.009302,85.2372093
110,Belarus,3/22/2021,3/25/2021,S.Q677,19687.0625,137.0625
111,Papua New Guinea,3/24/2021,9/20/2021,S.Q677,30.51971038,0.341110217
112,Djibouti,3/26/2021,5/20/2021,S.Q677,86.02996255,1.138576779
113,Niger,4/1/2021,4/1/2021,S.Q677,590.7058824,22
114,Malta,4/1/2021,6/21/2021,S.Q677,368.8961039,5.064935065
115,Ecuador,4/10/2021,9/27/2021,S.Q677,1101.704135,70.91750026
116,Bahrain,4/10/2021,10/27/2021,S.Q677,312.9478298,1.575569065
117,Latvia,4/13/2021,7/1/2021,S.Q677,162.1977224,2.972641895
118,Croatia,4/21/2021,11/13/2021,S.Q677,666.8157439,12.27357771
